"Charu C. Aggarwal. ""Hierarchical subspace sampling: a unified framework for high dimensional data reduction, selectivity estimation and nearest neighbor search"". International Conference on Management of Data, 2002.","Hierarchical subspace sampling: a unified framework for high dimensional data reduction, selectivity estimation and nearest neighbor search by Charu C. Aggarwal"
"Martin Grohe. ""Parameterized complexity for the database theorist"". ACM SIGMOD Record , 2002.",Parameterized complexity for the database theorist by Martin Grohe
"Arun Hampapur (1999). ""Semantic video indexing: approach and issues"". ACM SIGMOD Record .",Semantic video indexing: approach and issues by Arun Hampapur
Rich Finkelstein. 1995. The new middleware. In ACM SIGMOD Record .,The new middleware by Rich Finkelstein
Reee J. Miller. 1998. Using schematically heterogeneous structures. In International Conference on Management of Data.,Using schematically heterogeneous structures by Re&#233;e J. Miller
"Hans-Jorg Schek. ""Panel: Future Directions of Database Research - The VLDB Broadening Strategy, Part 1"". Very Large Data Bases, 2000.","Panel: Future Directions of Database Research - The VLDB Broadening Strategy, Part 1 by Hans-J&#246;rg Schek"
Ozgur Ulusoy. 1995. An annotated bibliography on real-time database systems. In ACM SIGMOD Record .,An annotated bibliography on real-time database systems by Ozgur Ulusoy
"S. Chakravarthy. ""Sentinel: an object-oriented DBMS with event-based rules"". International Conference on Management of Data, 1997.",Sentinel: an object-oriented DBMS with event-based rules by S. Chakravarthy
"Alon Y. Halevy. ""Theory of answering queries using views"". ACM SIGMOD Record , 2000.",Theory of answering queries using views by Alon Y. Halevy
"CORPORATE National Technical Univ. of Athens (1995). ""The database group at National Technical University of Athens (NTUA)"". ACM SIGMOD Record .",The database group at National Technical University of Athens (NTUA) by CORPORATE National Technical Univ. of Athens
"Jim Melton (2002). ""Standards"". ACM SIGMOD Record .",Standards by Jim Melton
Sudarshan S. Chawathe. 1999. Comparing Hierarchical Data in External Memory. In Very Large Data Bases.,Comparing Hierarchical Data in External Memory by Sudarshan S. Chawathe
"Jose A. Blakeley (1994). ""Open object database management systems"". International Conference on Management of Data.",Open object database management systems by Jose A. Blakeley
Paolo Giorgini. 2003. Agent-Oriented software engineering report on the 4th AOSE workshop (AOSE 2003). In ACM SIGMOD Record .,Agent-Oriented software engineering report on the 4th AOSE workshop (AOSE 2003) by Paolo Giorgini
"Gonzalo Navarro. ""Searching in metric spaces by spatial approximation"". The VLDB Journal -- The International Journal on Very Large Data Bases , 2002.",Searching in metric spaces by spatial approximation by Gonzalo Navarro
"Daniel Barbara. ""Special section on data mining for intrusion detection and threat analysis"". ACM SIGMOD Record , 2001.",Special section on data mining for intrusion detection and threat analysis by Daniel Barbara
"Pedro Celis. ""The Query Optimizer in Tandem's new ServerWare SQL Product"". Very Large Data Bases, 1996.",The Query Optimizer in Tandem's new ServerWare SQL Product by Pedro Celis
Christian Bohm. 2000. A cost model for query processing in high dimensional data spaces. In ACM Transactions on Database Systems (TODS) .,A cost model for query processing in high dimensional data spaces by Christian Bohm
"Amit Sheth. ""Research centers"". ACM SIGMOD Record , 2002.",Research centers by Amit Sheth
"Marianne Winslett. ""Distinguished database profiles"". ACM SIGMOD Record , 2002.",Distinguished database profiles by Marianne Winslett
"Anil Nori (2000). ""Asera: Extranet Architecture for B2B Solutions"". Very Large Data Bases.",Asera: Extranet Architecture for B2B Solutions by Anil Nori
"Yannis E. Ioannidis (1996). ""Dynamic information visualization"". ACM SIGMOD Record .",Dynamic information visualization by Yannis E. Ioannidis
Dean Kuo. 1996. Model and verification of a data manager based on ARIES. In ACM Transactions on Database Systems (TODS) .,Model and verification of a data manager based on ARIES by Dean Kuo
"Sanket Atal (1996). ""The XPS Approach to Loading and Unloading Terabyte Databases"". Very Large Data Bases.",The XPS Approach to Loading and Unloading Terabyte Databases by Sanket Atal
"Clark D. French (1995). ""One size fits all database architectures do not work for DSS"". International Conference on Management of Data.",One size fits all database architectures do not work for DSS by Clark D. French
"Janet Perna (1995). ""Leveraging the information asset"". International Conference on Management of Data.",Leveraging the information asset by Janet Perna
"Joseph Y. Halpern. ""Hypothetical knowledge and counterfactual reasoning"". Very Large Data Bases, 2000.",Hypothetical knowledge and counterfactual reasoning by Joseph Y. Halpern
"Martin Bertram (1994). ""Data modelling in the large"". ACM SIGMOD Record .",Data modelling in the large by Martin Bertram
"Marianne Winslett. ""Distinguished DB profiles"". ACM SIGMOD Record , 2002.",Distinguished DB profiles by Marianne Winslett
Richard Snodgrass. 1998. Reminiscences on influential papers. In ACM SIGMOD Record .,Reminiscences on influential papers by Richard Snodgrass
Martin Bertram. 1994. Data modelling in the large. In ACM SIGMOD Record .,Data modelling in the large by Martin Bertram
"Alexandros Labrinidis. ""Career forum"". ACM SIGMOD Record , 2002.",Career forum by Alexandros Labrinidis
"Alon Y. Halevy. ""Theory of answering queries using views"". ACM SIGMOD Record , 2000.",Theory of answering queries using views by Alon Y. Halevy
"Richard Snodgrass. ""Reminiscences in influential papers"". ACM SIGMOD Record , 1998.",Reminiscences in influential papers by Richard Snodgrass
"Ronald Fagin. ""Combining fuzzy information: an overview"". ACM SIGMOD Record , 2002.",Combining fuzzy information: an overview by Ronald Fagin
"Jan Chomicki (1995). ""Efficient checking of temporal integrity constraints using bounded history encoding"". ACM Transactions on Database Systems (TODS) .",Efficient checking of temporal integrity constraints using bounded history encoding by Jan Chomicki
Henry F. Korth. 1995. The Double Life of the Transaction Abstraction: Fundamental Principle and Evolving System Concept. In Very Large Data Bases.,The Double Life of the Transaction Abstraction: Fundamental Principle and Evolving System Concept by Henry F. Korth
Dale A. Stirling. 2003. Information rules. In ACM SIGMOD Record .,Information rules by Dale A. Stirling
"Dave Liles (2000). ""The Zero Latency Enterprise"". Very Large Data Bases.",The Zero Latency Enterprise by Dave Liles
"Daniel A. Keim (1996). ""databases and visualization"". International Conference on Management of Data.",databases and visualization by Daniel A. Keim
Amit Sheth. 2002. Research centers. In ACM SIGMOD Record .,Research centers by Amit Sheth
"Don Chamberlin (2003). ""XQuery: a query language for XML"". International Conference on Management of Data.",XQuery: a query language for XML by Don Chamberlin
"Kenneth Moore. ""The Lotus notes storage system"". International Conference on Management of Data, 1995.",The Lotus notes storage system by Kenneth Moore
"Praveen Seshadri. ""Honey, I shrunk the database: footprint, mobility, and beyond"". International Conference on Management of Data, 1999.","Honey, I shrunk the database: footprint, mobility, and beyond by Praveen Seshadri"
Chebel Mina. 1998. MapInfo SpatialWare: A Spatial Information Server for RDBMS. In Very Large Data Bases.,MapInfo SpatialWare: A Spatial Information Server for RDBMS by Chebel Mina
"Carsten Blecken. ""Media360 Workflow-Implementing a Workflow Engine Inside a Database"". Very Large Data Bases, 2000.",Media360 Workflow-Implementing a Workflow Engine Inside a Database by Carsten Blecken
"Curtis E. Dyreson. 2003. Temporal coalescing with now granularity, and incomplete information. In International Conference on Management of Data.","Temporal coalescing with now granularity, and incomplete information by Curtis E. Dyreson"
Anant Jhingran. 2000. Anatomy of a real E-commerce system. In International Conference on Management of Data.,Anatomy of a real E-commerce system by Anant Jhingran
"Xiaolei Qian. 1995. Opportunities at ARPA, NSF, and elsewhere. In ACM SIGMOD Record .","Opportunities at ARPA, NSF, and elsewhere by Xiaolei Qian"
Daniel A. Keim. 1996. databases and visualization. In International Conference on Management of Data.,databases and visualization by Daniel A. Keim
Rosa Meo. 2000. Theory of dependence values. In ACM Transactions on Database Systems (TODS) .,Theory of dependence values by Rosa Meo
"Carrie Ballinger (1994). ""Evolving teradata decision support for massively parallel processing with UNIX"". International Conference on Management of Data.",Evolving teradata decision support for massively parallel processing with UNIX by Carrie Ballinger
Garth A. Gibson. 1995. Tutorial on storage technology: RAID and beyond. In International Conference on Management of Data.,Tutorial on storage technology: RAID and beyond by Garth A. Gibson
"Ken Ross. ""Influential papers"". ACM SIGMOD Record , 2003.",Influential papers by Ken Ross
